Column1;Column2;Column3;Column4;Column5
Elle;She;-;0.995675 0.989479;37526
Tom;Tom;-;0.997826 0.998550;19276
,;,;-;0.897618 0.889370;17035
et;and;-;0.978676 0.965517;16660
Il;He;-;0.898325 0.927081;14481
est;is;-;0.782946 0.766517;10082
caf�;coffee;-;0.989842 0.991521;9355
piano;piano;-;0.996538 0.994761;8924
th�;tea;-;0.994912 0.992502;8604
Je;I;-;0.856649 0.475491;8420
eau;water;-;0.977659 0.965093;7133
un;a;-;0.794875 0.504526;6855
Nous;We;-;0.988630 0.901255;6608
pas;n't;-;0.688852 0.700489;6303
table;table;-;0.993222 0.994633;6301
mais;but;-;0.971396 0.953473;5943
g�teau;cake;-;0.995253 0.991889;5870
!;!;-;0.965404 0.975366;5860
chien;dog;-;0.994505 0.995260;5249
tr�s;very;-;0.943216 0.956209;4651
la;the;-;0.633268 0.367559;4557
p�re;father;-;0.992144 0.966331;4420
banque;bank;-;0.998619 0.996783;4338
anglais;English;-;0.986830 0.993025;4271
pi�ce;room;-;0.976354 0.932897;4129
aujourd'hui;today;-;0.983043 0.988473;4116
oiseau;bird;-;0.989993 0.988063;4056
blanc;white;-;0.994946 0.993941;3937
restaurant;restaurant;-;0.998221 0.997460;3927
rouge;red;-;0.991554 0.990793;3874
trop;too;-;0.960922 0.977823;3836
Tu;You;-;0.930090 0.697255;3632
vin;wine;-;0.990700 0.993690;3622
froid;cold;-;0.962500 0.970762;3619
lait;milk;-;0.986072 0.984427;3540
bi�re;beer;-;0.990037 0.992863;3478
m�re;mother;-;0.990625 0.945704;3170
ou;or;-;0.984801 0.979219;3110
avec;with;-;0.917380 0.791497;3109
poisson;fish;-;0.988045 0.988045;3058
fr�re;brother;-;0.989803 0.990780;3009
argent;money;-;0.982606 0.976517;2994
nourriture;food;-;0.980567 0.966872;2977
deux;two;-;0.973027 0.992190;2922
Ils;They;-;0.987487 0.941025;2920
couteau;knife;-;0.997942 0.996575;2910
demain;tomorrow;-;0.995542 0.994178;2903
toujours;always;-;0.973863 0.993765;2869
une;a;-;0.692967 0.208140;2828
quatre;four;-;0.990436 0.988335;2796
vivre;live;-;0.938241 0.974982;2689
jamais;never;-;0.945324 0.975139;2628
vous;you;-;0.728695 0.290682;2608
sucre;sugar;-;0.980974 0.985474;2578
s�ur;sister;-;0.991396 0.970149;2535
cheval;horse;-;0.992478 0.988175;2507
fumer;smoking;-;0.879255 0.935213;2454
tasse;cup;-;0.989870 0.981913;2443
elle;she;-;0.872740 0.904120;2414
Si;If;-;0.980456 0.960894;2408
hier;yesterday;-;0.986381 0.964487;2390
bien;well;-;0.603435 0.884815;2389
ici;here;-;0.975800 0.974601;2379
tu;you;-;0.787728 0.264712;2375
viande;meat;-;0.989869 0.988201;2345
soupe;soup;-;0.991925 0.973717;2334
avant;before;-;0.971190 0.939798;2326
dans;in;-;0.687388 0.426148;2311
pain;bread;-;0.981489 0.987868;2280
faire;do;-;0.398041 0.558939;2276
livre;book;-;0.983117 0.984395;2271
devoirs;homework;-;0.995606 0.928689;2266
semaine;week;-;0.997792 0.994278;2259
voiture;car;-;0.991083 0.984064;2223
le;the;-;0.461667 0.178255;2210
Le;The;-;0.850251 0.471633;2203
pour;for;-;0.586746 0.584227;2178
Japon;Japan;-;0.995430 0.993160;2178
souvent;often;-;0.995407 0.988144;2167
ai;I;-;0.721400 0.121075;2144
manger;eat;-;0.849820 0.888982;2122
chemise;shirt;-;0.997625 0.995261;2100
Pourquoi;Why;-;0.970847 0.966820;2098
homme;man;-;0.980142 0.950481;2073
chat;cat;-;0.993157 0.994616;2032
mon;my;-;0.924572 0.528292;1998
fleur;flower;-;0.992548 0.985693;1998
chinois;Chinese;-;0.961652 0.955545;1956
apr�s;after;-;0.982412 0.975062;1955
�cole;school;-;0.995868 0.986694;1928
cas;case;-;0.933563 0.966378;1897
trois;three;-;0.982180 0.988918;1874
vite;fast;-;0.957754 0.912617;1859
matin;morning;-;0.980871 0.969029;1846
bouteille;bottle;-;0.991356 0.994041;1835
lui;him;-;0.798145 0.702293;1807
sans;without;-;0.965217 0.957929;1776
rencontr�;met;-;0.931782 0.811234;1762
chocolat;chocolate;-;0.993468 0.992878;1673
�;to;-;0.347086 0.185034;1632
de;of;-;0.199828 0.359973;1626
verre;glass;-;0.968806 0.969388;1615
Mon;My;-;0.979817 0.663079;1602
de;to;-;0.195158 0.180045;1588
gar�on;boy;-;0.988579 0.973750;1558
amis;friends;-;0.989199 0.964684;1557
sant�;health;-;0.982256 0.980392;1550
�tait;was;-;0.898955 0.557035;1548
fils;son;-;0.998709 0.990397;1547
glace;ice;-;0.970831 0.975781;1531
sur;on;-;0.829415 0.582342;1517
fin;end;-;0.958678 0.961122;1508
vie;life;-;0.972903 0.976684;1508
veux;want;-;0.932789 0.841360;1485
faim;hungry;-;0.912237 0.910549;1476
nous;we;-;0.638596 0.698656;1456
chaud;hot;-;0.835075 0.869933;1438
appareil photo;camera;-;0.992243 0.546408;1407
ne;n't;-;0.417389 0.155257;1397
choses;things;-;0.946975 0.956074;1393
Apr�s;After;-;0.986380 0.981455;1376
sel;salt;-;0.976912 0.989043;1354
il;he;-;0.471100 0.628717;1353
temps;time;-;0.772021 0.745414;1341
douleur;pain;-;0.988905 0.959110;1337
notre;our;-;0.970760 0.926081;1328
cette;this;-;0.860135 0.526033;1273
parents;parents;-;0.996808 0.976544;1249
lettre;letter;-;0.995196 0.997592;1243
";";";";-;0.981054 0.954327;1191
robe;dress;-;0.937500 0.938242;1185
pas;not;-;0.128634 0.473451;1177
O�;Where;-;0.978315 0.957551;1173
moi;me;-;0.821629 0.306363;1170
Tokyo;Tokyo;-;0.990598 0.999138;1159
Un;A;-;0.924879 0.643982;1145
Oui;Yes;-;1.000000 1.000000;1136
y;There;-;0.652400 0.797737;1128
pense;think;-;0.953429 0.835312;1126
impossible;impossible;-;0.993654 0.979446;1096
La;The;-;0.789892 0.234211;1094
J';I;-;0.700064 0.061554;1090
je;I;-;0.569182 0.061328;1086
ann�e;year;-;0.959147 0.927039;1080
famille;family;-;0.993458 0.981533;1063
lumi�re;light;-;0.937332 0.901033;1047
rien;nothing;-;0.845403 0.921099;1039
m';me;-;0.838343 0.270228;1032
ans;years;-;0.931346 0.872250;1031
enfants;children;-;0.960600 0.956116;1024
maintenant;now;-;0.944290 0.893673;1017
jour;day;-;0.950281 0.774465;1013
Paris;Paris;-;0.998020 1.000000;1008
pierre;stone;-;0.991098 0.990119;1002
maison;house;-;0.836149 0.961165;990
hiver;winter;-;0.985930 0.966502;981
nature;nature;-;0.977845 0.985787;971
vraiment;really;-;0.933723 0.908918;958
quelque chose;something;-;0.932617 0.448567;955
pomme;apple;-;0.968238 0.957447;945
r�gime;diet;-;0.954918 0.975916;932
tennis;tennis;-;0.950870 0.998925;929
lapin;rabbit;-;0.996703 0.996703;907
Tatoeba;Tatoeba;-;0.996685 0.996685;902
herbe;grass;-;0.998883 0.996656;894
faire;to;-;0.155299 0.100680;888
nerveux;nervous;-;0.989933 0.975744;885
ils;they;-;0.954644 0.858252;884
fille;girl;-;0.894898 0.962678;877
t�te;head;-;0.793665 0.943011;877
parce;because;-;0.979615 0.904812;865
son;his;-;0.631309 0.449245;863
bleu;blue;-;0.968539 0.966368;862
Vous;You;-;0.874112 0.165291;861
chapeau;hat;-;0.957589 0.954394;858
minutes;minutes;-;0.985998 0.987150;845
dix;ten;-;0.964490 0.968930;842
nuit;night;-;0.928335 0.847936;842
travail;work;-;0.783178 0.831349;838
petit-d�jeuner;breakfast;-;0.960694 0.613284;831
Notre;Our;-;0.997596 0.982249;830
ma;my;-;0.898048 0.218932;828
Quand;When;-;0.984487 0.867508;825
:;:;-;0.959811 0.977136;812
Fumer;Smoking;-;0.981862 0.990244;812
si�cle;century;-;0.993850 1.000000;808
Et;And;-;0.971119 0.982948;807
achet�;bought;-;0.968675 0.934884;804
J' ai;I;-;0.767241 0.045234;801
apr�s-midi;afternoon;-;0.992528 0.970767;797
panier;basket;-;0.974233 0.974233;794
Dieu;God;-;0.997481 0.993726;792
quelque;something;-;0.908879 0.365430;778
sang;blood;-;0.977215 0.978454;772
accident;accident;-;0.967296 0.887991;769
comment;how;-;0.963430 0.870159;764
yeux;eyes;-;0.990897 0.974425;762
parapluie;umbrella;-;0.998686 0.998686;760
poulet;chicken;-;0.979381 0.987013;760
France;France;-;0.997365 1.000000;757
